words,sentiment_coeff
the,4.886941772292833
to,5.927926838635659
and,7.065257891786705
of,4.43569879478346
in,7.980786981191442
a,11.54819371624601
for,12.321322703464292
we,6.645021237446519
is,10.826873940698858
our,7.177468934409028
with,12.682765362804007
that,8.740166170500718
on,9.059838690744721
this,11.808345719346638
will,9.722810662405251
it,9.450832215541274
i,11.1487610330158
are,11.726491395661398
today,20.539349924165847
all,12.024268013207369
you,8.632206640746192
from,16.96567235613936
have,10.206996516401286
at,17.558870582432323
as,15.019096161970909
country,10.232275157653588
people,17.20811877291938
s,14.152214433888837
by,20.958057426168377
their,14.890766444298345
government,13.505618276575019
more,8.37314696537177
not,11.524975937319144
work,17.97176246651164
your,15.573331515201223
who,13.99718590103694
be,18.628412535793892
will_be,15.340209403081754
they,14.985995775366513
but,14.794149385234835
new,19.497751278908883
us,16.95414672977861
now,13.392678513127201
his,6.157156864675698
my,16.529282068791154
has,21.951117563691742
israel,8.753186549645807
thank_you,10.060149037828896
support,8.57262526833893
also,13.184835225400782
great,14.745564408745278
plan,5.3659866634478055
can,12.806708931549876
about,18.32508827444681
amp,9.903696205186085
was,12.12319423898377
do,10.739706242832906
them,15.97402754686341
world,18.83737674176284
day,20.109632259491665
one,25.182338926547075
together,11.84112796234751
congratulations,8.705670376263269
make,9.65909096269783
so,8.936234414521747
covid,9.373997806416023
here,22.49102266318466
get,-3.548432762046179
an,8.70212815185437
which,19.57119993161776
time,20.68829305917496
what,16.05691990396117
india,10.270553847987747
we_can,4.675098088746814
state,12.89093669672702
or,14.930591196830342
future,8.566647647201844
when,17.06394027011251
—,6.522591638938576
spain,12.935161309880485
thanks,21.86571538677995
help,12.278395076686367
year,22.557910488732208
first,19.85074213688682
over,14.924546475263833
he,8.327584187742353
its,17.994642333617673
everyone,15.724714939465812
live,10.594213301318394
pandemic,10.597534135045109
protect,11.194269657533718
up,14.064739583818676
done,-3.4895050962618086
good,26.75150692171994
how,20.322275606913927
life,20.967255765586806
continue,15.228672466469705
right,14.807815048536149
years,23.691571191182252
these,26.660563050189452
many,18.617046368424354
across,14.510511551872312
we_must,12.941543479667754
those_who,13.553473700189938
there,18.9570111919103
after,24.138210927461788
jobs,7.225621145518009
auspol,13.032562969666316
keep,11.483641131767934
will_continue,19.86319853988936
end,16.187792482762376
see,29.494016423138394
has_been,24.975136806930692
way,25.42587370905519
